file_id,path,offset,end,size,sha256,extension,format,signature_hex
0,__unmapped__/file_00000,786432,916192,129760,20e45958f7232db3e87e3d5cf455db2a4281503731410bd149dad092a3abb9fd,,,f88d1d906f480de90384141c00932114
1,__unmapped__/file_00001,916480,1026960,110480,fa28e1fa5b9361c3b0624a0034f3026ee403bbddeeb3e79dae6d49a92d30fa4b,,,351880a06838f6a1fd3af6006df924f6
2,__unmapped__/file_00002,1027072,1070036,42964,9aead71b84ef07a527db55b461b481daf0cccb2ef299699d74be5634b7c1de42,,,2d020b00dcf865770a4cf6476902c965
3,__unmapped__/file_00003,1070080,1086840,16760,24b8e85116e89d685e6ec78c34709bbdf57211d22081324203a48e84b1894508,,,3d1829bd8a73ffd317254aeb45cbf5fb
4,__unmapped__/file_00004,1086976,1098816,11840,6581403a61f8e67d43f0cd4bdd895db865c83ceb2545b19d3e60584de58cd240,,,78b589b0056d03d5c300fdc320a882fc
5,__unmapped__/file_00005,1099264,1109276,10012,2a8b7b55a977835e5f2232db275953625f265d4cfd046ca033a194e2ce0c8c57,,,3819081548164100644422eaf5e0fe03
6,__unmapped__/file_00006,1109504,1110284,780,90d92645e2868c0ac185bfddd54a6a7dc0e874c2fa34802aeaf0e97211c3c6a9,,,0021c943884203d08100024840587047
7,__unmapped__/file_00007,1110528,1189088,78560,721939ae2b78a70be4b3f1d902829b69e7625d4fe477d90f92b4ecdf82bfdf92,,,0f30002903d10504d348bf08670b8d71
8,__unmapped__/file_00008,1189376,1218740,29364,d10692fd32a71949f02baee8d3fa7387e5c62ec0c8e488521e7b594358e79fee,,,a51368b30c01d98406741625481649eb
9,__unmapped__/file_00009,1219072,1219092,20,07d1d94d7d3269a1155925f01090a020e40387e8e8998fc3b4a1a3c633ca4d46,,,05500990033000000000001e14000008
10,__unmapped__/file_00010,1219584,1247240,27656,d46de8af9c9a71461e3f1a512bd07ce93671010050f574e6115505458bd52d95,,,f8b582b0061cd52001920d1c80001a1c
11,__unmapped__/file_00011,1247744,1247764,20,07d1d94d7d3269a1155925f01090a020e40387e8e8998fc3b4a1a3c633ca4d46,,,05500990033000000000001e14000008
12,__unmapped__/file_00012,1248256,1410804,162548,3fd784967d68e57e0ca35e3abd84a43cea5a88e0d6cf3dba0bdedefff0671d7b,,,78b589b00c1c061ccef5d4ff2168051c
13,__unmapped__/file_00013,1411072,1521648,110576,0b4d5e6f5698355d100765f503eb18035ae0fb636e7d24a7764d12323903db9e,,,f8b5002500907f2401262f1c281c211c
14,__unmapped__/file_00014,1521664,1573228,51564,c3b329737efd5345e48fe28637dabb0524ac617b2a88dc8cb058e060b99caab5,,,38b50122051c03200921120434f6ccfa
15,__unmapped__/file_00015,1573376,1596268,22892,3b283a03b068d7aaed9e168f25a1886dcfebca65e7c1188cd2dd86e66d78ff59,,Nintendo RLE,30b583b0051c0020011c20f683f920f6
16,__unmapped__/file_00016,1596416,1597936,1520,1140cf3be5cb79cbad9ab2d60e7ac01d39396113f66799979e9a59b7f47fc54a,,,f8b582b0071c00f0cbf90090381cc021
17,__unmapped__/file_00017,1597952,1604644,6692,77518c054bf801efa38f0ad5345aec10f031d5cd00b1f2091024312672742988,,,08b50020011c17f665fd17f669fd20f6
18,__unmapped__/file_00018,1605120,1664080,58960,45c81673aa0a9a7b8ee7a835503bb841c858d594b199e387e6af3d070773a48f,,,450500c0401c70474301474df09a4d20
19,__unmapped__/file_00019,1664512,1666440,1928,3915ddb6658e659d0e469cd737737be987f550b4cb0c5a7680bd5ba16fd08645,,,38b57621051c0b208900c0f50bfc7622
20,__unmapped__/file_00020,1666560,1667436,876,b835dc0a5af7211a04d831c3acbaffc21c568ccff60069f1cbe636ca89f895ad,,,f0b583b000210a1c051c14f613fa0004
21,__unmapped__/file_00021,1667584,1667912,328,195ddc831993bf5dc1dc87232d73a756156f38190f87603098fd9987f95dc9e0,,,f8b59f7057ffc75090f6f900240b4f00
22,__unmapped__/file_00022,1668096,1668540,444,2c12070bf27d1c2e3e3ffe4da4f83166e1bcd8ddc1b380ca6ed6ef4b8d273d22,,,f8b5051caa68511ca9601478e5f55611
