id,name,affected_scope,region_language,status,defect_class
G4-BAT-001,U-turn flinch-item oversight,D/P/Pt/HG/SS,all,confirmed_public,game_logic
G4-BAT-002,Fire Fang Wonder Guard glitch,D/P/Pt/HG/SS,all,confirmed_public,game_logic
G4-BAT-003,Invisible status condition glitch,D/P/Pt/HG/SS,all,confirmed_public,display_state
G4-BAT-004,Pressure switch PP glitch,D/P/Pt/HG/SS,all,confirmed_public,state_restoration
G4-BAT-005,Rage glitch,D/P/Pt/HG/SS,all,confirmed_public,volatile_state
G4-BAT-006,Sprite translation glitch,D/P/Pt/HG/SS,all,research_required,animation_state
G4-BAT-007,Transform glitch family,D/P/Pt/HG/SS,varies,confirmed_public,transform_state
G4-BAT-008,Arceus Plate battle freeze,D/P,all,confirmed_public,form_change
G4-BAT-009,Protection bypass glitch,D/P,all,confirmed_public,accuracy_logic
G4-BAT-010,First Starly battle crash,D/P,all,confirmed_public,script_battle_guard
G4-BAT-011,Tower Tycoon event skipping,D/P,all,confirmed_public,facility_state
G4-BAT-012,U-turn Choice glitch,D/P,all,confirmed_public,choice_lock
G4-BAT-013,Pursuit Choice glitch,D/P,Japanese,region_specific,choice_lock
G4-BAT-014,Slow Start removal oversight,D/P,Japanese,region_specific,ability_state
G4-BAT-015,Trapping Ability flee-message glitch,Pt; D/P applicability unknown,all,research_required,battle_targeting
G4-BAT-016,Double Shiny encounter softlock,D/P/Pt,all,confirmed_public,battle_intro
G4-BAT-017,Ace Trainer Kate oversight,HG/SS,all,confirmed_public,trainer_sight
G4-BAT-018,Acid rain / acid weather,Pt/HG/SS; D/P when hosted by affected game,all,confirmed_public,weather_state
G4-BAT-019,Battle Tower streak overflow,Pt/HG/SS,all,confirmed_public,integer_wrap
G4-SYS-001,Corrupted-save cloning behavior,D/P/Pt/HG/SS,all,confirmed_public,save_transaction
G4-NET-001,DNS Mystery Gift / alternate-server behavior,D/P/Pt/HG/SS,all,assessment_required,external_protocol
G4-NET-002,GTS morphing glitch,D/P/Pt/HG/SS,all,research_required,server_client_state
G4-NET-003,GTS trade-evolution oversight,D/P/Pt/HG/SS,all,confirmed_public,trade_state
G4-NET-004,GTS vanishing glitch,D/P/Pt/HG/SS,all,research_required,server_client_state
G4-MIG-001,Pal Park name encoding glitch,D/P/Pt/HG/SS,Western,region_specific,text_encoding
G4-SYS-002,Pomeg glitch interactions,D/P/Pt/HG/SS,all,assessment_required,legacy_state
G4-NET-005,Trade cloning,D/P/Pt/HG/SS,all,confirmed_public,transaction_atomicity
G4-OW-001,Tweaking / load-boundary exploit,D/P/Pt/HG/SS listed; verify per target,all,assessment_required,map_streaming
G4-UI-001,Egg determination glitch,D/P,all,confirmed_public,ui_race
G4-SYS-003,Friendship underflow,D/P,all,confirmed_public,integer_underflow
G4-NET-006,GTS cloning,D/P,all,confirmed_public,transaction_atomicity
G4-DATA-001,Ribbon check skips after Egg,D/P,all,confirmed_public,iteration_logic
G4-UI-002,GTS level-range display oversight,Pt,early American,region_specific,localization_ui
G4-TEXT-001,Member Card name error,Pt,localization-dependent,assessment_required,text_data
G4-SAVE-002,Disappearing PC Pokémon report,D/P/Pt,all,research_required,unknown
G4-UI-003,HM05 Defog shown as Water type,D/P/Pt,all,confirmed_public,ui_data
G4-BAT-020,Run Away wrong escape message,D/P/Pt,all,confirmed_public,message_subject
G4-EVT-001,Buena password lockout,HG/SS,all,research_required,event_state
G4-ENC-001,Pokémon Lullaby underflow,HG/SS,all,confirmed_public,integer_underflow
G4-PW-001,Pokéwalker data cloning / rejection,HG/SS,all,research_required,save_sync
G4-FORM-001,Giratina form/stat desynchronization,Pt/HG/SS,all,confirmed_public,form_stats
G4-OW-002,Overworld graphics corruption,D/P/Pt/HG/SS,all,confirmed_public,rendering
